Boot Entry,Iteration:  1 ,Iteration:  2 ,Iteration:  3 ,Iteration:  4 ,Iteration:  5 
SBL_SPI_INIT,boot entry type : 0 ,boot entry type : 0 ,boot entry type : 0 ,boot entry type : 0 ,boot entry type : 0 
        ,start time : 00:00:00.000.039  ,start time : 00:00:00.000.040  ,start time : 00:00:00.000.042  ,start time : 00:00:00.000.040  ,start time : 00:00:00.000.041  
        ,time elapsed in ss.ms.us : 00.000.079 ,time elapsed in ss.ms.us : 00.000.079 ,time elapsed in ss.ms.us : 00.000.079 ,time elapsed in ss.ms.us : 00.000.079 ,time elapsed in ss.ms.us : 00.000.079 
        ,                                         ,                                         ,                                         ,                                         ,                                         
SBL_FCONFIG_LOAD,boot entry type : 1 ,boot entry type : 1 ,boot entry type : 1 ,boot entry type : 1 ,boot entry type : 1 
        ,start time : 00:00:00.008.318  ,start time : 00:00:00.008.319  ,start time : 00:00:00.008.320  ,start time : 00:00:00.008.320  ,start time : 00:00:00.008.320  
        ,time elapsed in ss.ms.us : 00.001.656 ,time elapsed in ss.ms.us : 00.001.656 ,time elapsed in ss.ms.us : 00.001.656 ,time elapsed in ss.ms.us : 00.001.657 ,time elapsed in ss.ms.us : 00.001.656 
        ,                                         ,                                         ,                                         ,                                         ,                                         
SBL_CRYPTO_INIT,boot entry type : 2 ,boot entry type : 2 ,boot entry type : 2 ,boot entry type : 2 ,boot entry type : 2 
        ,start time : 00:00:00.000.123  ,start time : 00:00:00.000.125  ,start time : 00:00:00.000.126  ,start time : 00:00:00.000.124  ,start time : 00:00:00.000.126  
        ,time elapsed in ss.ms.us : 00.004.879 ,time elapsed in ss.ms.us : 00.004.879 ,time elapsed in ss.ms.us : 00.004.878 ,time elapsed in ss.ms.us : 00.004.880 ,time elapsed in ss.ms.us : 00.004.879 
        ,                                         ,                                         ,                                         ,                                         ,                                         
SBL_CRITICAL_BOOT_LOAD,boot entry type : 3 ,boot entry type : 3 ,boot entry type : 3 ,boot entry type : 3 ,boot entry type : 3 
        ,start time : 00:00:00.005.003  ,start time : 00:00:00.005.005  ,start time : 00:00:00.005.006  ,start time : 00:00:00.005.005  ,start time : 00:00:00.005.006  
        ,time elapsed in ss.ms.us : 00.000.000 ,time elapsed in ss.ms.us : 00.000.000 ,time elapsed in ss.ms.us : 00.000.000 ,time elapsed in ss.ms.us : 00.000.000 ,time elapsed in ss.ms.us : 00.000.000 
        ,                                         ,                                         ,                                         ,                                         ,                                         
SBL_UFH_LOAD_AND_VERIFY,boot entry type : 4 ,boot entry type : 4 ,boot entry type : 4 ,boot entry type : 4 ,boot entry type : 4 
        ,start time : 00:00:00.005.004  ,start time : 00:00:00.005.005  ,start time : 00:00:00.005.007  ,start time : 00:00:00.005.006  ,start time : 00:00:00.005.007  
        ,time elapsed in ss.ms.us : 00.003.313 ,time elapsed in ss.ms.us : 00.003.313 ,time elapsed in ss.ms.us : 00.003.313 ,time elapsed in ss.ms.us : 00.003.313 ,time elapsed in ss.ms.us : 00.003.312 
        ,                                         ,                                         ,                                         ,                                         ,                                         
SBL_DIGEST_COMPUTE,boot entry type : 5 ,boot entry type : 5 ,boot entry type : 5 ,boot entry type : 5 ,boot entry type : 5 
        ,start time : 00:00:00.009.975  ,start time : 00:00:00.009.976  ,start time : 00:00:00.009.977  ,start time : 00:00:00.009.977  ,start time : 00:00:00.009.977  
